analysis_type,native_id,term_name,source,p_value,odds_ratio,a_overlap,b_model_only,c_horvath_only,d_neither,n_my_cpgs,n_horvath_cpgs,n_background_cpgs,term_size,query_size,intersection_size,recall,precision
fisher_exact_horvath_overlap,FISHER,CpG overlap vs expected (model ∩ Horvath),overlap_test,3.8953117800418156e-09,18.106761065266316,9.0,682.0,344.0,471999.0,691.0,353.0,473034.0,,,,,
gprofiler_go,GO:0007156,homophilic cell-cell adhesion,GO:BP,1.604188459665685e-21,,,,,,,,,169.0,439.0,35.0,0.20710059171597633,0.07972665148063782
gprofiler_go,GO:0048731,system development,GO:BP,5.0340947693448605e-14,,,,,,,,,4023.0,439.0,159.0,0.0395227442207308,0.3621867881548975
gprofiler_go,GO:0007275,multicellular organism development,GO:BP,1.5200906998915083e-13,,,,,,,,,4690.0,439.0,175.0,0.03731343283582089,0.39863325740318906
gprofiler_go,GO:0032501,multicellular organismal process,GO:BP,1.7401957514078866e-12,,,,,,,,,7337.0,439.0,235.0,0.032029439825541774,0.5353075170842825
gprofiler_go,GO:0048856,anatomical structure development,GO:BP,1.7338988663150218e-11,,,,,,,,,5948.0,439.0,200.0,0.03362474781439139,0.45558086560364464
gprofiler_go,GO:0007399,nervous system development,GO:BP,2.4574392366410126e-11,,,,,,,,,2597.0,439.0,113.0,0.04351174432036966,0.25740318906605925
gprofiler_go,GO:0007155,cell adhesion,GO:BP,5.590339797236874e-10,,,,,,,,,1512.0,439.0,77.0,0.05092592592592592,0.17539863325740318
gprofiler_go,GO:0098609,cell-cell adhesion,GO:BP,1.0146337182902138e-09,,,,,,,,,965.0,439.0,58.0,0.06010362694300518,0.13211845102505695
gprofiler_go,GO:0032502,developmental process,GO:BP,1.214823145024074e-09,,,,,,,,,6535.0,439.0,208.0,0.03182861514919663,0.47380410022779046
gprofiler_go,GO:0010646,regulation of cell communication,GO:BP,0.0013402717513504487,,,,,,,,,3480.0,439.0,113.0,0.03247126436781609,0.25740318906605925
gprofiler_go,GO:0009653,anatomical structure morphogenesis,GO:BP,0.001484903834491586,,,,,,,,,2699.0,439.0,93.0,0.03445720637273064,0.21184510250569477
gprofiler_go,GO:0023051,regulation of signaling,GO:BP,0.0038377451618993087,,,,,,,,,3473.0,439.0,111.0,0.031960840771667144,0.2528473804100228
gprofiler_go,GO:0007268,chemical synaptic transmission,GO:BP,0.005061778551195164,,,,,,,,,765.0,439.0,37.0,0.048366013071895426,0.08428246013667426
gprofiler_go,GO:0098916,anterograde trans-synaptic signaling,GO:BP,0.005061778551195164,,,,,,,,,765.0,439.0,37.0,0.048366013071895426,0.08428246013667426
gprofiler_go,GO:0099537,trans-synaptic signaling,GO:BP,0.006247848441917985,,,,,,,,,772.0,439.0,37.0,0.04792746113989637,0.08428246013667426
gprofiler_go,GO:0099536,synaptic signaling,GO:BP,0.015284147128654222,,,,,,,,,803.0,439.0,37.0,0.0460772104607721,0.08428246013667426
gprofiler_go,GO:0048513,animal organ development,GO:BP,0.01721188381731621,,,,,,,,,3018.0,439.0,97.0,0.03214049039098741,0.22095671981776766
gprofiler_go,GO:1903531,negative regulation of secretion by cell,GO:BP,0.02874662632836797,,,,,,,,,146.0,439.0,13.0,0.08904109589041095,0.029612756264236904
gprofiler_go,GO:0071944,cell periphery,GO:CC,1.0865299256898363e-07,,,,,,,,,6263.0,461.0,192.0,0.030656235031135237,0.4164859002169197
gprofiler_go,GO:0005886,plasma membrane,GO:CC,3.3059503510873958e-06,,,,,,,,,5906.0,461.0,178.0,0.030138841855739926,0.38611713665943603
gprofiler_go,GO:0016020,membrane,GO:CC,3.495459416808498e-05,,,,,,,,,9975.0,461.0,263.0,0.02636591478696742,0.5704989154013015
gprofiler_go,GO:0030054,cell junction,GO:CC,5.9934528252220794e-05,,,,,,,,,2370.0,461.0,86.0,0.036286919831223625,0.18655097613882862
gprofiler_go,GO:0098793,presynapse,GO:CC,0.001644414337581691,,,,,,,,,610.0,461.0,31.0,0.05081967213114754,0.06724511930585683
gprofiler_go,GO:0005737,cytoplasm,GO:CC,0.003270751261120703,,,,,,,,,12601.0,461.0,307.0,0.024363145782080788,0.665943600867679
gprofiler_go,GO:0031410,cytoplasmic vesicle,GO:CC,0.012106535032365254,,,,,,,,,2548.0,461.0,82.0,0.03218210361067504,0.17787418655097614
gprofiler_go,GO:0097708,intracellular vesicle,GO:CC,0.013511564079915663,,,,,,,,,2556.0,461.0,82.0,0.032081377151799685,0.17787418655097614
gprofiler_go,GO:0045202,synapse,GO:CC,0.017854661371219948,,,,,,,,,1608.0,461.0,57.0,0.03544776119402985,0.12364425162689804
gprofiler_go,GO:0097060,synaptic membrane,GO:CC,0.0306182694310061,,,,,,,,,426.0,461.0,22.0,0.051643192488262914,0.04772234273318872
gprofiler_go,GO:0043005,neuron projection,GO:CC,0.04025866606719379,,,,,,,,,1321.0,461.0,48.0,0.036336109008327025,0.10412147505422993
gprofiler_go,GO:0046872,metal ion binding,GO:MF,2.6200688013717153e-12,,,,,,,,,4450.0,456.0,173.0,0.038876404494382025,0.3793859649122807
gprofiler_go,GO:0043169,cation binding,GO:MF,4.398541724083387e-12,,,,,,,,,4548.0,456.0,175.0,0.03847845206684257,0.38377192982456143
gprofiler_go,GO:0043167,ion binding,GO:MF,2.9944698542773678e-09,,,,,,,,,6253.0,456.0,210.0,0.03358387973772589,0.4605263157894737
gprofiler_go,GO:0036094,small molecule binding,GO:MF,9.611993945160564e-09,,,,,,,,,6446.0,456.0,213.0,0.03304374806081291,0.46710526315789475
gprofiler_go,GO:0005509,calcium ion binding,GO:MF,9.815492747494362e-09,,,,,,,,,718.0,456.0,48.0,0.06685236768802229,0.10526315789473684
